DisputeID,StDay,StMon,StYear,EndDay,EndMon,EndYear,stDate,endDate,durationDays,MaxHost,Total Fatality,MaxHostLev,MaxFatalityLev,United Kingdom,United States of America,China,Soviet Union
1073,7,8,1954,8,6,1955,7/8/1954,8/6/1955,304,Display of Force,0,3,0,0,0,0,0
1074,17,8,1961,19,12,1961,17-8-1961,19-12-1961,124,Use of Force,-1,4,1,0,0,0,0
1077,22,9,1947,10,11,1947,22-9-1947,10/11/1947,49,Display of Force,0,3,0,0,0,0,0
1079,13,3,1951,14,8,1951,13-3-1951,14-8-1951,154,Use of Force,-1,4,1,0,0,0,0
1081,20,7,1971,13,8,1971,20-7-1971,13-8-1971,24,Use of Force,-1,4,-1,0,0,0,0
1082,-9,7,1937,-9,12,1937,1/7/1937,1/12/1937,153,Use of Force,-1,4,-1,0,0,0,0
1083,2,7,1962,19,10,1962,2/7/1962,19-10-1962,109,Use of Force,-1,4,2,0,0,0,0
1084,30,9,1963,4,11,1963,30-9-1963,4/11/1963,35,Use of Force,-1,4,3,0,0,0,0
1086,9,5,1909,23,3,1910,9/5/1909,23-3-1910,318,War,-1,5,6,0,0,0,0
1087,23,5,1911,30,12,1911,23-5-1911,30-12-1911,221,Use of Force,-1,4,-1,0,0,0,0
1091,1,2,1958,25,2,1958,1/2/1958,25-2-1958,24,Use of Force,0,4,0,0,0,0,0
1093,-9,5,1900,6,4,1902,1/5/1900,6/4/1902,704,Use of Force,-1,4,-1,0,0,0,0
1094,-9,11,1907,-9,11,1907,1/11/1907,1/11/1907,0,Use of Force,0,4,0,0,0,0,0
1095,-9,1,1912,18,2,1912,1/1/1912,18-2-1912,46,Use of Force,0,4,0,0,0,0,0
1097,-9,7,1952,-9,9,1952,1/7/1952,1/9/1952,61,Use of Force,0,4,0,0,0,0,0
1098,4,8,1955,-9,9,1955,4/8/1955,1/9/1955,27,Use of Force,0,4,0,0,0,0,0
1099,-9,4,1958,19,8,1958,1/4/1958,19-8-1958,141,Use of Force,0,4,0,0,0,0,0
1100,16,8,1959,29,9,1959,16-8-1959,29-9-1959,43,Display of Force,0,3,0,0,0,0,0
1101,24,3,1960,24,3,1960,24-3-1960,24-3-1960,0,Display of Force,0,3,0,0,0,0,0
1102,17,9,1963,17,9,1963,17-9-1963,17-9-1963,0,Display of Force,0,3,0,0,0,0,0
1104,6,5,1972,25,5,1972,6/5/1972,25-5-1972,19,Use of Force,-1,4,1,0,0,0,0
1105,18,11,1973,18,11,1973,18-11-1973,18-11-1973,0,Use of Force,0,4,0,0,0,0,0
1106,-9,11,1975,11,3,1976,1/11/1975,11/3/1976,132,Use of Force,-1,4,-1,0,0,0,0
1107,25,10,1971,28,10,1972,25-10-1971,28-10-1972,369,Use of Force,-1,4,-1,0,0,0,0
1108,15,11,1962,15,11,1962,15-11-1962,15-11-1962,0,Use of Force,0,4,0,0,2,0,0
1109,1,5,1966,14,5,1967,1/5/1966,14-5-1967,378,Use of Force,-1,4,1,0,0,0,0
1110,26,11,1969,12,12,1969,26-11-1969,12/12/1969,17,Use of Force,-1,4,1,0,0,0,0
1112,25,9,1949,-9,1,1950,25-9-1949,1/1/1950,99,Display of Force,0,3,0,0,0,0,0
1114,23,6,1959,24,7,1959,23-6-1959,24-7-1959,32,Display of Force,0,3,0,0,0,0,0
1115,8,5,1967,8,5,1967,8/5/1967,8/5/1967,0,Use of Force,-1,4,1,0,0,0,0
1117,23,11,1957,24,2,1958,23-11-1957,24-2-1958,91,Use of Force,0,4,0,0,0,0,0
1118,1,1,1972,30,6,1972,1/1/1972,30-6-1972,180,Use of Force,-1,4,-1,0,0,0,0
1119,1,1,1973,2,1,1974,1/1/1973,2/1/1974,366,Use of Force,-1,4,-1,0,0,0,0
1120,-9,2,1901,17,6,1901,1/2/1901,17-6-1901,138,Display of Force,0,3,0,0,0,0,0
1123,9,7,1962,19,8,1962,9/7/1962,19-8-1962,41,Use of Force,-1,4,1,0,0,0,0
1124,29,12,1958,29,12,1958,29-12-1958,29-12-1958,0,Use of Force,0,4,1,0,1,0,0
1127,-9,1,1931,-9,1,1931,1/1/1931,1/1/1931,0,Use of Force,-1,4,-1,0,0,0,0
1128,30,12,1931,1,4,1932,30-12-1931,1/4/1932,92,Use of Force,-1,4,-1,0,0,0,0
1129,1,5,1934,23,6,1934,1/5/1934,23-6-1934,52,War,0,5,6,1,0,0,0
1130,1,10,1921,30,10,1921,1/10/1921,30-10-1921,29,Use of Force,-1,4,-1,0,0,0,1
1131,15,11,1914,20,3,1917,15-11-1914,20-3-1917,857,Use of Force,-1,4,-1,0,0,0,0
1132,3,11,1918,3,11,1918,3/11/1918,3/11/1918,0,Use of Force,0,4,0,0,0,0,1
1133,18,5,1920,24,2,1921,18-5-1920,24-2-1921,279,Use of Force,-1,4,-1,1,0,0,2
1134,13,8,1974,13,3,1975,13-8-1974,13-3-1975,212,Use of Force,-1,4,2,0,0,0,0
1135,30,11,1971,3,6,1972,30-11-1971,3/6/1972,186,Use of Force,-1,4,1,0,0,0,0
1136,6,4,1969,13,6,1969,6/4/1969,13-6-1969,68,Use of Force,0,4,0,0,0,0,0
1138,22,9,1959,21,1,1960,22-9-1959,21-1-1960,122,Use of Force,-1,4,1,0,0,0,0
1139,1,9,1932,25,5,1933,1/9/1932,25-5-1933,267,Use of Force,-1,4,2,0,0,0,0
1141,-9,2,1934,19,5,1934,1/2/1934,19-5-1934,110,Display of Force,0,3,0,0,0,0,0
1142,5,12,1917,26,12,1917,5/12/1917,26-12-1917,21,Use of Force,0,4,0,0,0,2,1
1143,15,12,1919,-9,2,1921,15-12-1919,1/2/1921,411,Use of Force,0,4,0,0,0,2,1
1145,-9,12,1901,29,1,1905,1/12/1901,29-1-1905,1155,Use of Force,-1,4,1,0,0,0,0
1147,-9,2,1910,-9,12,1910,1/2/1910,1/12/1910,306,Use of Force,0,4,0,0,0,0,0
1148,22,4,1912,-9,3,1913,22-4-1912,1/3/1913,314,Use of Force,0,4,0,0,0,0,0
1149,-9,11,1914,-9,1,1916,1/11/1914,1/1/1916,427,Display of Force,0,3,0,0,0,0,0
1150,-9,2,1917,-9,5,1918,1/2/1917,1/5/1918,457,Display of Force,0,3,0,0,0,0,0
1151,8,10,1932,12,11,1932,8/10/1932,12/11/1932,34,Use of Force,-1,4,1,0,0,0,0
1152,-9,12,1934,-9,10,1936,1/12/1934,1/10/1936,670,Use of Force,0,4,0,0,0,0,0
1153,-9,5,1938,27,6,1938,1/5/1938,27-6-1938,56,Use of Force,-1,4,1,0,0,0,0
1154,1,6,1939,11,2,1942,1/6/1939,11/2/1942,984,Use of Force,-1,4,4,0,0,0,0
1155,11,8,1951,15,8,1951,11/8/1951,15-8-1951,4,Use of Force,-1,4,1,0,0,0,0
1156,24,1,1954,-9,10,1954,24-1-1954,1/10/1954,250,Use of Force,0,4,0,0,0,0,0
1157,-9,8,1955,27,9,1955,1/8/1955,27-9-1955,56,Display of Force,0,3,0,0,0,0,0
1158,11,1,1971,16,1,1971,11/1/1971,16-1-1971,5,Use of Force,0,4,0,0,1,0,0
1160,-9,10,1907,-9,10,1907,1/10/1907,1/10/1907,0,Use of Force,0,4,0,0,0,0,0
1161,18,1,1911,19,7,1911,18-1-1911,19-7-1911,182,Use of Force,-1,4,1,0,0,0,0
1162,-9,4,1913,-9,5,1913,1/4/1913,1/5/1913,31,Use of Force,-1,4,-1,0,0,0,0
1163,21,10,1902,12,7,1904,21-10-1902,12/7/1904,630,Use of Force,-1,4,1,0,0,0,0
1164,-9,8,1918,-9,8,1918,1/8/1918,1/8/1918,0,Use of Force,0,4,0,0,0,0,0
1166,14,10,1966,14,4,1967,14-10-1966,14-4-1967,181,Use of Force,0,4,0,0,0,0,0
1168,-9,2,1922,20,8,1922,1/2/1922,20-8-1922,203,Use of Force,-1,4,2,0,0,0,0
1169,-9,10,1927,14,2,1928,1/10/1927,14-2-1928,134,Use of Force,-1,4,1,0,0,0,0
1170,7,4,1929,7,4,1929,7/4/1929,7/4/1929,0,Use of Force,0,4,1,0,2,0,0
1171,28,8,1935,-9,9,1935,28-8-1935,1/9/1935,3,Use of Force,-1,4,1,0,0,0,0
1172,28,1,1969,28,7,1969,28-1-1969,28-7-1969,181,Use of Force,0,4,0,0,0,0,0
1173,19,4,1957,23,6,1957,19-4-1957,23-6-1957,65,Use of Force,0,4,0,0,0,0,0
1174,17,9,1900,16,11,1901,17-9-1900,16-11-1901,425,Use of Force,-1,4,-1,0,0,0,0
1175,19,2,1917,3,9,1917,19-2-1917,3/9/1917,198,Use of Force,0,4,0,0,0,0,0
1176,-9,3,1920,14,5,1920,1/3/1920,14-5-1920,74,Display of Force,0,3,0,0,0,0,0
1177,-9,3,1919,-9,3,1919,1/3/1919,1/3/1919,0,Use of Force,-1,4,-1,0,0,0,2
1178,19,6,1902,-9,4,1903,19-6-1902,1/4/1903,286,Use of Force,0,4,0,0,0,0,0
1179,-9,1,1906,-9,1,1906,1/1/1906,1/1/1906,0,Display of Force,0,3,0,0,0,0,0
1180,19,11,1910,30,3,1911,19-11-1910,30-3-1911,132,Use of Force,-1,4,1,0,0,0,0
1181,-9,5,1911,20,10,1911,1/5/1911,20-10-1911,172,Display of Force,0,3,0,0,0,0,0
1182,-9,11,1918,-9,12,1918,1/11/1918,1/12/1918,31,Display of Force,0,3,0,0,0,0,0
1183,-9,9,1922,-9,11,1922,1/9/1922,1/11/1922,61,Display of Force,0,3,0,0,0,0,0
1184,25,7,1920,22,8,1920,25-7-1920,22-8-1920,28,Use of Force,-1,4,0,0,0,0,0
1187,22,3,1962,-9,4,1962,22-3-1962,1/4/1962,9,Display of Force,0,3,0,0,0,0,0
1189,-9,11,1975,-9,7,1976,1/11/1975,1/7/1976,244,Display of Force,0,3,0,0,0,0,0
1190,13,7,1976,12,8,1976,13-7-1976,12/8/1976,30,Use of Force,0,4,0,0,0,0,0
1191,11,9,1976,11,9,1976,11/9/1976,11/9/1976,0,Use of Force,-1,4,-1,0,0,0,0
1193,1,8,1954,1,8,1954,1/8/1954,1/8/1954,0,Use of Force,0,4,0,0,1,0,0
1195,2,7,1918,30,8,1918,2/7/1918,30-8-1918,59,Use of Force,0,4,0,0,0,0,0
1196,24,12,1913,-9,1,1914,24-12-1913,1/1/1914,8,Display of Force,0,3,0,0,0,0,0
1197,1,9,1943,8,9,1943,1/9/1943,8/9/1943,7,Use of Force,-1,4,-1,0,0,2,0
1200,10,2,1973,10,2,1973,10/2/1973,10/2/1973,0,Use of Force,-1,4,-1,0,0,0,0
1202,5,1,1907,23,4,1907,5/1/1907,23-4-1907,107,War,-1,5,4,0,0,0,0
1203,3,1,1909,25,5,1909,3/1/1909,25-5-1909,142,Use of Force,0,4,0,0,2,0,0
1204,30,6,1907,30,6,1907,30-6-1907,30-6-1907,0,Use of Force,-1,4,-1,0,0,0,0
1205,-9,3,1906,20,7,1906,1/3/1906,20-7-1906,141,War,-1,5,4,0,0,0,0
1206,24,6,1969,18,7,1969,24-6-1969,18-7-1969,25,War,-1,5,6,0,0,0,0
1207,2,4,1912,1,7,1912,2/4/1912,1/7/1912,91,Use of Force,0,4,0,0,0,0,0
1208,26,12,1959,28,12,1959,26-12-1959,28-12-1959,2,Use of Force,0,4,1,0,0,0,0
1209,15,5,1962,15,5,1962,15-5-1962,15-5-1962,0,Use of Force,-1,4,1,0,0,0,0
1211,21,8,1935,-9,10,1935,21-8-1935,1/10/1935,41,Display of Force,0,3,0,0,0,0,0
1213,19,3,1964,25,10,1964,19-3-1964,25-10-1964,220,Use of Force,-1,4,1,0,2,0,0
1214,-9,2,1956,-9,2,1956,1/2/1956,1/2/1956,0,Use of Force,0,4,0,0,0,0,0
1215,30,5,1958,1,7,1958,30-5-1958,1/7/1958,32,Use of Force,-1,4,-1,0,0,0,0
1216,26,12,1965,2,8,1966,26-12-1965,2/8/1966,219,Use of Force,0,4,0,0,1,2,0
1217,5,2,1967,24,2,1967,5/2/1967,24-2-1967,19,Use of Force,-1,4,-1,0,2,0,0
1219,1,1,1919,18,11,1920,1/1/1919,18-11-1920,686,War,-1,5,6,0,0,0,2
1225,-9,11,1953,-9,5,1954,1/11/1953,1/5/1954,182,Use of Force,0,4,0,0,0,0,0
1226,5,8,1958,9,2,1959,5/8/1958,9/2/1959,185,Use of Force,0,4,0,0,0,0,0
1227,18,6,1961,28,12,1961,18-6-1961,28-12-1961,194,Display of Force,0,3,0,0,0,0,0
1228,15,6,1962,17,11,1962,15-6-1962,17-11-1962,155,Use of Force,-1,4,1,0,0,0,0
